Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2005","2005","t","4180655","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2006","2006","t","4271724","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2007","2007","t","4431845","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2008","2008","t","4803604","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2009","2009","t","5224773","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2010","2010","t","5427852","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2011","2011","t","5786195","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2012","2012","t","5628764","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2013","2013","t","5571030","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2014","2014","t","5619662.09","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2015","2015","t","5375830","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2016","2016","t","5376639.44","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2017","2017","t","6459613.67","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2018","2018","t","6539956.53","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2019","2019","t","6662064.69","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2020","2020","t","6716434.43","A","Official figure"
"TCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5910","Export Quantity","F1734","Vegetables","2021","2021","t","6773749.36","A","Official figure"
